loss,rewards,time,steps,epochs
0.0489,1207.3997,2811.1367,1375,92.6
0.0455,716.7056,2821.2081,1380,92.9333
0.0433,889.4281,2831.3175,1385,93.2667
0.0437,750.4437,2841.1008,1390,93.6
0.0388,1207.7135,2851.9436,1395,93.9333
0.0425,953.6865,2862.9057,1400,94.2667
0.0412,991.3066,2873.5517,1405,94.6
0.0455,822.4632,2883.8505,1410,94.9333
0.0381,622.8401,2894.8223,1415,95.2667
0.0464,1873.8816,2905.1516,1420,95.6
0.0462,1079.9797,2916.4868,1425,95.9333
0.0433,750.4589,2927.7416,1430,96.2667
0.0468,677.2498,2939.435,1435,96.6
0.0442,555.008,2952.8764,1440,96.9333
0.0412,565.7468,2967.2753,1445,97.2667
0.041,879.4404,2978.7153,1450,97.6
0.0536,942.5228,2989.7005,1455,97.9333
0.0479,991.7399,2999.7221,1460,98.2667
0.0406,770.6996,3010.559,1465,98.6
0.0403,870.9953,3020.6223,1470,98.9333
0.0556,613.452,3032.2816,1475,99.2667
0.0432,1101.099,3043.9626,1480,99.6
0.0417,950.6671,3054.7322,1485,99.9333
0.0435,1263.7371,3065.8352,1490,100.2667
0.0414,1832.0457,3076.5164,1495,100.6
0.0369,1234.0026,3086.668,1500,100.9333
